ID_BLOCO,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,ID_MENU
7b93fab5,Crateús,"-5.186109, -40.672586",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/7b93fab5.2_7.105205.jpg,,,54529ef7
5a74598c,Crateús,"-5.186102, -40.672358",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/5a74598c.2_7.105324.jpg,,,54529ef7
8a646b26,Crateus-CE,"-5.191375, -40.677407",Advertência,1,BOM,Poste H,BOM,1_BLOCO_Images/8a646b26.2_7.105354.jpg,,,be9036ba
6d12b337,Crateus-CE,"-5.191456, -40.677506",Advertência,1,BOM,Barrote simples,BOM,1_BLOCO_Images/6d12b337.2_7.105358.jpg,,,be9036ba
bff174e6,Crateús,"-5.186971, -40.670799",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/bff174e6.2_7.105656.jpg,,,54529ef7
8accfe55,Crateús,"-5.186974, -40.670592",Regulamentar,1,BOM,Coluna simples,BOM,1_BLOCO_Images/8accfe55.2_7.105751.jpg,,,54529ef7
ee225166,Crateús,"-5.187549, -40.669587",Regulamentar,1,BOM,Coluna simples,BOM,1_BLOCO_Images/ee225166.2_7.110010.jpg,,,54529ef7
59e4c358,Crateús,"-5.187581, -40.669357",Regulamentar,1,BOM,Coluna simples,BOM,1_BLOCO_Images/59e4c358.2_7.110057.jpg,,,54529ef7
cec03927,Crateús,"-5.187113, -40.669484",Regulamentar,2,RUIM,Poste H,BOM,1_BLOCO_Images/cec03927.2_7.110242.jpg,,,54529ef7
d1e5e142,Crateús,"-5.186288, -40.669268",Regulamentar,1,BOM,Coluna simples,BOM,1_BLOCO_Images/d1e5e142.2_7.110856.jpg,,,54529ef7
adc0a04b,Crateús,"-5.186088, -40.669407",Regulamentar,1,RUIM,Barrote simples,BOM,1_BLOCO_Images/adc0a04b.2_7.110934.jpg,,,54529ef7
2506eb13,Crateús,"-5.185502, -40.669182",Regulamentar,1,RUIM,Coluna simples,BOM,1_BLOCO_Images/2506eb13.2_7.111118.jpg,,,54529ef7
0e319d9e,Crateús,"-5.184848, -40.669127",Regulamentar,1,BOM,Poste H,BOM,1_BLOCO_Images/0e319d9e.2_7.111245.jpg,,,54529ef7
1dcd5187,Crateús,"-5.184871, -40.669286",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/1dcd5187.2_7.111327.jpg,,,54529ef7
c013a9d4,Crateús,"-5.184845, -40.669445",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/c013a9d4.2_7.111617.jpg,,,54529ef7
97dce7e2,Crateús,"-5.184679, -40.669470",Regulamentar,1,RUIM,Barrote simples,BOM,1_BLOCO_Images/97dce7e2.2_7.111659.jpg,,,54529ef7
120e835b,Crateús,"-5.184649, -40.669511",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/120e835b.2_7.111900.jpg,,,54529ef7
17c226dd,Crateús,"-5.184654, -40.669559",Regulamentar,2,BOM,Poste H,BOM,1_BLOCO_Images/17c226dd.2_7.111929.jpg,,,54529ef7
21912374,Crateús,"-5.184612, -40.669561",Regulamentar,2,BOM,Poste H,BOM,1_BLOCO_Images/21912374.2_7.112008.jpg,,,54529ef7
519e9d8c,Crateús,"-5.184436, -40.670231",Regulamentar,1,RUIM,Barrote simples,BOM,1_BLOCO_Images/519e9d8c.2_7.112238.jpg,,,54529ef7
63b0a407,Crateús,"-5.184414, -40.670368",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/63b0a407.2_7.112519.jpg,,,54529ef7
c4a0a41d,Crateús,"-5.183948, -40.671308",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/c4a0a41d.2_7.112738.jpg,,,54529ef7
b7519da2,Crateús,"-5.183937, -40.671473",Regulamentar,1,BOM,Poste H,BOM,1_BLOCO_Images/b7519da2.2_7.112901.jpg,,,54529ef7
d5b92342,Crateús,"-5.183469, -40.672392",Regulamentar,1,BOM,Coluna simples,BOM,1_BLOCO_Images/d5b92342.2_7.113158.jpg,,,54529ef7
b4a783af,Crateús,"-5.184490, -40.672828",Regulamentar,1,BOM,Poste H,BOM,1_BLOCO_Images/b4a783af.2_7.113436.jpg,,,54529ef7
281a6570,Crateús,"-5.184994, -40.673075",Regulamentar,1,BOM,Barrote simples,BOM,1_BLOCO_Images/281a6570.2_7.113549.jpg,,,54529ef7
e194f5fc,Crateús,"-5.185408, -40.673261",Advertência,1,BOM,Barrote simples,BOM,1_BLOCO_Images/e194f5fc.2_7.113649.jpg,,,54529ef7
